...1,MinAgeAdlt,MaxAgeAdlt,EggsPerSpawn,AdltNaturalMort,VonBertK,LengthAsymptotic,Species,SpawnMinDepth,SpawnMaxDepth,DaysToHatch,DaysAsLarvae,SpawnMinTemp,SpawnMaxTemp,SpawnMinSal,SpawnMaxSal,LengthWeightRelationshipA,LengthWeightRelationshipB,FunctionalGroup,TempShape,rArea,MinAgeJvnl,PctPopJvnl,PctPopAdlt,JvnlFishingMort,JvnlNaturalDailyMort,AssimilationEfficiency,MaxIngestionRate,PctTotalMassThatIsStructuralMass,MaxAgeJvnl,MinOptimalTemp,MaxOptimalTemp,IntraSpawnTime,EggSurvival_pct,TotalBiomass_mt,AveMass_g,AdltFishingMort,JvnlNaturalMort,MinOptimalSal,MaxOptimalSal,AdltMinSwimSpeed_bl/s,AdltMaxSwimSpeed_bl/s,JvnlMinSwimSpeed_bl/s,JvnlMaxSwimSpeed_bl/s,AdltMinSwimSpeed_cm/s,AdltMaxSwimSpeed_cm/s,JvnlMinSwimSpeed_cm/s,JvnlMaxSwimSpeed_cm/s,SpawnStartMonth,SpawnEndMonth,MaxDepth,MinDepth
1,3.39894657786432,14.0108880526863,2541258.45782982,0.239600145661755,0.16010124489504,110.079761338661,Atlantic_Cod,1,100,25.125,100,1,8,12.1999998092651,35,0.00761115384615384,3.07866346153846,1,11,1,0,0.5,0.5,0.05,0,0.95,0.69,0.76,3.39894657786432,2,8,3,6.05,12000,8514.50251453062,0.39,0.8,30,999,0.155349436825715,1.92386652856492,0.328118438460928,2.08977375757561,11.4005526199134,141.185845541243,12.0397331321977,76.6805988285733,11,4,600,0
2,1.73952855504166,13.7311118335167,243195.749934147,0.463351555041132,0.322091733160662,41.0089758011375,Atlantic_Mackerel,0,200,5.36,39.5,9,15,31.8999996185303,33,0.00440951219512195,3.25224390243902,0,11,1,0,0.5,0.5,0.05,0,0.95,0.69,0.76,1.73952855504166,10,20,3,6.05,12000,427.203357754635,0.4,0.5,30,999,0.39888689899527,2.16576683160915,0.564255556935877,2.3338148767523,10.9052954588585,59.2105863922439,7.71318082668025,31.9024526016899,4,8,1000,0
3,2.0979349684235,10.0436683511311,50549.0924884437,0.628374703112202,0.266875277670519,32.0740416447664,Black_Sea_Bass,19.8,48.8,3.23666666666667,60,10,18,33,35,0.025135,2.9296,1,11,1,0,0.5,0.5,0.05,0,0.95,0.69,0.76,2.0979349684235,12,22,7,2,29769,203.509431552848,0.39,0.8,30,999,0.455551526050942,2.22832236835165,0.62891865197632,2.40033692145137,9.74091907859652,47.6475362936502,6.72398767821961,25.6628354600339,12,4,48.8,1
4,2.86422008869312,15.1162811707136,718172.831895921,0.341157244197058,0.231459456826351,67.8561599278544,Haddock,60,200,14,127,1.29999995231628,8,31.5,33.5,0.0062276,3.13252,1,11,1,0,0.5,0.5,0.05,0,0.95,0.69,0.76,2.86422008869312,4,8,10,25,681717,1876.82690000156,0.4,0.5,30,999,0.277905073887526,2.04274330374696,0.444790907919728,2.22172479393643,12.5717140923161,92.4084775404047,10.0606009940855,50.2525709776767,2,5,450,10
5,2.19487411901403,13.7298018622133,20241.0527146277,0.436018876785336,0.209596266908218,40.6926964987945,Scup,0,30,1.67,60,10,24,15,40,0.0160966666666667,3.12666666666667,1,11,1,0,0.5,0.5,0.05,0,0.95,0.69,0.76,2.19487411901403,10,18,0,2,176404,547.011662011062,0.41,0.8,30,999,0.40208223698321,2.16755763457492,0.572648327459019,2.33410195986026,10.9078736247428,58.802509978268,7.76753486327738,31.6603008832783,5,8,50,15
6,4.14323953040006,15.2055280764044,862098.658405541,0.32771826765107,0.186714060850735,50.4003582658694,Yellowtail_Flounder,45,75,25,60,4.5,8.1,31.5,33.5,0.00550666666666666,3.15888888888889,1,11,1,0,0.5,0.5,0.05,0,0.95,0.69,0.76,4.14323953040006,2,10,10,50,4894,1068.90526228166,0.4,0.5,30,999,0.349921148434995,2.11610212671061,0.518558961835694,2.2882134585492,11.7574341639522,71.1015368755885,8.71185248616543,38.4422593665545,3,8,364,27
